Country,ISO-ALPHA-3,Latitude,Longitude
Aruba,ABW,12.52111,-69.968338
Afghanistan,AFG,33.93911,67.709953
Angola,AGO,-11.202692,17.873887
Anguilla,AIA,18.220554,-63.068615
Åland Islands,ALA,60.250716,20.374146
Albania,ALB,41.153332,20.168331
Andorra,AND,42.546245,1.601554
Netherlands Antilles,ANT,12.226079,-69.060087
Netherlands Antilles,ANT,12.226079,-69.060087
Netherlands Antilles,ANT,12.226079,-69.060087
United Arab Emirates,ARE,23.424076,53.847818
Argentina,ARG,-38.416097,-63.616672
Armenia,ARM,40.069099,45.038189
American Samoa,ASM,-14.270972,-170.132217
Antarctica,ATA,-75.250973,-0.071389
French Southern Territories,ATF,-49.280366,69.348557
French Southern and Antarctic Lands,ATF,-49.280366,69.348557
Antigua and Barbuda,ATG,17.060816,-61.796428
Australia,AUS,-25.274398,133.775136
Austria,AUT,47.516231,14.550072
Azerbaijan,AZE,40.143105,47.576927
Burundi,BDI,-3.373056,29.918886
Belgium,BEL,50.503887,4.469936
Benin,BEN,9.30769,2.315834
"Bonaire, Sint Eustatius and Saba",BES,12.183333,-68.233333
"Caribbean Netherlands: Bonaire, Sint Eustatius and Saba",BES,12.183333,-68.233333
Burkina Faso,BFA,12.238333,-1.561593
Bangladesh,BGD,23.684994,90.356331
Bulgaria,BGR,42.733883,25.48583
Bahrain,BHR,25.930414,50.637772
Bahamas,BHS,25.03428,-77.39628
The Bahamas,BHS,25.03428,-77.39628
Bosnia and Herzegovina,BIH,43.915886,17.679076
Saint Barthélemy,BLM,,
Belarus,BLR,53.709807,27.953389
Belize,BLZ,17.189877,-88.49765
Bermuda,BMU,32.321384,-64.75737
Bolivia,BOL,-16.290154,-63.588653
Bolivia (Plurinational State of),BOL,-16.290154,-63.588653
Brazil,BRA,-14.235004,-51.92528
Barbados,BRB,13.193887,-59.543198
Brunei,BRN,4.535277,114.727669
Brunei Darussalam,BRN,4.535277,114.727669
Bhutan,BTN,27.514162,90.433601
Burma,BUR,21.913965,95.956223
Myanmar,MMR,21.913965,95.956223
Bouvet Island,BVT,-54.423199,3.413194
