Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106721,ABW,12.52111,-69.968338,2024-03-22
Afghanistan,40204035,AFG,33.93911,67.709953,2024-03-22
Angola,32853444,AGO,-11.202692,17.873887,2024-03-22
Anguilla,13446,AIA,18.220554,-63.068615,2024-03-22
Åland Islands,29447,ALA,60.250716,20.374146,2024-03-22
Albania,2836768,ALB,41.153332,20.168331,2024-03-22
Andorra,77239,AND,42.546245,1.601554,2024-03-22
United Arab Emirates,9887539,ARE,23.424076,53.847818,2024-03-22
Argentina,45362003,ARG,-38.416097,-63.616672,2024-03-22
Armenia,2962260,ARM,40.069099,45.038189,2024-03-22
American Samoa,55179,ASM,-14.270972,-170.132217,2024-03-22
Antarctica,999,ATA,-75.250973,-0.071389,2024-03-22
French Southern Territories,399,ATF,-49.280366,69.348557,2024-03-22
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-03-22
Antigua and Barbuda,97899,ATG,17.060816,-61.796428,2024-03-22
Australia,25676373,AUS,-25.274398,133.775136,2024-03-22
Austria,8913475,AUT,47.516231,14.550072,2024-03-22
Azerbaijan,10106206,AZE,40.143105,47.576927,2024-03-22
Burundi,11886535,BDI,-3.373056,29.918886,2024-03-22
Belgium,11551560,BEL,50.503887,4.469936,2024-03-22
Benin,12119497,BEN,9.30769,2.315834,2024-03-22
"Bonaire, Sint Eustatius and Saba",25979,BES,12.183333,-68.233333,2024-03-22
Burkina Faso,20897093,BFA,12.238333,-1.561593,2024-03-22
Bangladesh,164641320,BGD,23.684994,90.356331,2024-03-22
Bulgaria,6924491,BGR,42.733883,25.48583,2024-03-22
Bahrain,1700942,BHR,25.930414,50.637772,2024-03-22
Bahamas,393105,BHS,25.03428,-77.39628,2024-03-22
The Bahamas,393134,BHS,25.03428,-77.39628,2024-03-22
Bosnia and Herzegovina,3279682,BIH,43.915886,17.679076,2024-03-22
Belarus,9395207,BLR,53.709807,27.953389,2024-03-22
Belize,397502,BLZ,17.189877,-88.49765,2024-03-22
Bermuda,63879,BMU,32.321384,-64.75737,2024-03-22
Bolivia,11668766,BOL,-16.290154,-63.588653,2024-03-22
Brazil,212490089,BRA,-14.235004,-51.92528,2024-03-22
Barbados,287263,BRB,13.193887,-59.543198,2024-03-22
Brunei,437302,BRN,4.535277,114.727669,2024-03-22
Brunei Darussalam,437311,BRN,4.535277,114.727669,2024-03-22
Bhutan,771363,BTN,27.514162,90.433601,2024-03-22
Burma,54387861,BUR,21.913965,95.956223,2024-03-22
Myanmar,54390571,MMR,21.913965,95.956223,2024-03-22
Botswana,2350654,BWA,-22.328474,24.684866,2024-03-22
Central African Republic,4827952,CAF,6.611111,20.939444,2024-03-22
Canada,37990592,CAN,56.130366,-106.346771,2024-03-22
Cocos (Keeling) Islands,543,CCK,-12.164165,96.870956,2024-03-22
Switzerland,8651545,CHE,46.818188,8.227512,2024-03-22
Chile,19110078,CHL,-35.675147,-71.542969,2024-03-22
China,1372353816,CHN,35.86166,104.195397,2024-03-22
Côte d'Ivoire,26367228,CIV,7.539989,-5.54708,2024-03-22
Cameroon,26536907,CMR,7.369722,12.354722,2024-03-22
Congo,5655146,COG,-0.228021,15.827659,2024-03-22
Cook Islands,18093,COK,-21.236736,-159.777671,2024-03-22
Colombia,50863455,COL,4.570868,-74.297333,2024-03-22
Comoros,869251,COM,-11.875001,43.872219,2024-03-22
Cape Verde,555774,CPV,16.002082,-24.013197,2024-03-22
Costa Rica,5092605,CRI,9.748917,-83.753428,2024-03-22
Cuba,11323213,CUB,21.521757,-77.781167,2024-03-22
Curaçao,154964,CUW,12.186111,-68.989444,2024-03-22
Christmas Island,2071,CXR,-10.447525,105.690449,2024-03-22
Cayman Islands,65693,CYM,19.513469,-80.566956,2024-03-22
Cyprus,1206961,CYP,35.126413,33.429859,2024-03-22
Czech Republic,10694865,CZE,49.817492,15.472962,2024-03-22
Czechia,10695558,CZE,49.817492,15.472962,2024-03-22
Germany,83216861,DEU,51.165691,10.451526,2024-03-22
Djibouti,987599,DJI,11.825138,42.590275,2024-03-22
Dominica,10844628,DMA,15.414999,-61.370976,2024-03-22
Denmark,5829413,DNK,56.26392,9.501785,2024-03-22
Dominican Republic,10843833,DOM,18.735693,-70.162651,2024-03-22
Algeria,44682319,DZA,28.033886,1.659626,2024-03-22
Ecuador,17637839,ECU,-1.831239,-78.183406,2024-03-22
Egypt,102305475,EGY,26.820553,30.802498,2024-03-22
Eritrea,5349848,ERI,15.179384,39.782334,2024-03-22
Western Sahara,510554,ESH,24.215527,-12.885834,2024-03-22
Spain,47331910,ESP,40.463667,-3.74922,2024-03-22
Estonia,1330638,EST,58.595272,25.013607,2024-03-22
Ethiopia,114930016,ETH,9.145,40.489673,2024-03-22
Finland,5528525,FIN,61.92411,25.748151,2024-03-22
Fiji,896120,FJI,-16.578193,179.414413,2024-03-22
Falkland Islands,2562,FLK,-51.796253,-59.523613,2024-03-22
Falkland Islands (Malvinas),2562,FLK,-51.796253,-59.523613,2024-03-22
France,67364840,FRA,46.227638,2.213749,2024-03-22
Faroe Islands,48845,FRO,61.892635,-6.911806,2024-03-22
Micronesia,114986,FSM,7.425554,150.550812,2024-03-22
"Micronesia, Federated States of",114981,FSM,7.425554,150.550812,2024-03-22
Gabon,2225072,GAB,-0.803689,11.609444,2024-03-22
Northern Ireland,67192891,GB-NIR,54.7,-6.7,2024-03-22
United Kingdom,67192274,GBR,55.378051,-3.435973,2024-03-22
United Kingdom of Great Britain and Northern Ireland,67188458,GBR,55.378051,-3.435973,2024-03-22
Georgia,3712551,GEO,42.315407,43.356892,2024-03-22
Guernsey,62980,GGY,49.465691,-2.585278,2024-03-22
Ghana,31063725,GHA,7.946527,-1.023194,2024-03-22
Gibraltar,33678,GIB,36.137741,-5.345374,2024-03-22
Guinea,1402508,GIN,9.945587,-9.696645,2024-03-22
Guadeloupe,400004,GLP,16.995971,-62.067641,2024-03-22
Gambia,2415964,GMB,13.443182,-15.310139,2024-03-22
The Gambia,2415833,GMB,13.443182,-15.310139,2024-03-22
Guinea-Bissau,1967196,GNB,11.803749,-15.180413,2024-03-22
Equatorial Guinea,1402497,GNQ,1.650801,10.267895,2024-03-22
Greece,10711641,GRC,39.074208,21.824312,2024-03-22
Grenada,112482,GRD,12.262776,-61.604171,2024-03-22
Greenland,56343,GRL,71.706936,-42.604303,2024-03-22
Guatemala,16851876,GTM,15.783471,-90.230759,2024-03-22
French Guiana,254437,GUF,3.933889,-53.125782,2024-03-22
Guam,168719,GUM,13.444304,144.793731,2024-03-22
Guyana,786278,GUY,4.860416,-58.93018,2024-03-22
Hong Kong,7498418,HKG,22.396428,114.109497,2024-03-22
Honduras,9901507,HND,15.199999,-86.241905,2024-03-22
Croatia,4045868,HRV,45.1,15.2,2024-03-22
Haiti,11398162,HTI,18.971187,-72.285215,2024-03-22
Hungary,9746505,HUN,47.162494,19.503304,2024-03-22
Indonesia,273436543,IDN,-0.789275,113.921327,2024-03-22
Isle of Man,85005,IMN,54.236107,-4.548056,2024-03-22
India,1379589879,IND,20.593684,78.96288,2024-03-22
British Indian Ocean Territory,2998,IOT,-6.343194,71.876519,2024-03-22
Ireland,67196305,IRL,53.41291,-8.24389,2024-03-22
Iran,83959220,IRN,32.427908,53.688046,2024-03-22
Iraq,40207207,IRQ,33.223191,43.679291,2024-03-22
Iceland,366280,ISL,64.963051,-19.020835,2024-03-22
Israel,9213262,ISR,31.046051,34.851612,2024-03-22
Italy,59531333,ITA,41.87194,12.56738,2024-03-22
Jamaica,2960329,JAM,18.109581,-77.297508,2024-03-22
Jersey,100760,JEY,49.214439,-2.13125,2024-03-22
Jordan,10199752,JOR,30.585164,36.238414,2024-03-22
Japan,125795548,JPN,36.204824,138.252924,2024-03-22
Kazakhstan,18747669,KAZ,48.019573,66.923684,2024-03-22
Kenya,53750730,KEN,-0.023559,37.906193,2024-03-22
Kyrgyzstan,6589730,KGZ,41.20438,74.766098,2024-03-22
Cambodia,16713781,KHM,12.565679,104.990963,2024-03-22
Kiribati,119397,KIR,-3.370417,-168.734039,2024-03-22
Saint Kitts and Nevis,53172,KNA,17.357822,-62.782998,2024-03-22
South Korea,51762488,KOR,35.907757,127.766922,2024-03-22
"Korea, Republic of",51760561,KOR,35.907757,127.766922,2024-03-22
Kuwait,4269176,KWT,29.31166,47.481766,2024-03-22
Laos,7272727,LAO,19.85627,102.495496,2024-03-22
Lao People's Democratic Republic,7272627,LAO,19.85627,102.495496,2024-03-22
Lebanon,6822810,LBN,33.854721,35.862285,2024-03-22
Liberia,5056090,LBR,6.428055,-9.429499,2024-03-22
Libya,6868599,LBY,26.3351,17.228331,2024-03-22
Saint Lucia,183574,LCA,13.909444,-60.978893,2024-03-22
Liechtenstein,38124,LIE,47.166,9.555373,2024-03-22
Sri Lanka,21910925,LKA,7.873054,80.771797,2024-03-22
Lesotho,2141359,LSO,-29.609988,28.233608,2024-03-22
Lithuania,2793646,LTU,55.169438,23.881275,2024-03-22
Luxembourg,632094,LUX,49.815273,6.129583,2024-03-22
Latvia,1900822,LVA,56.879635,24.603189,2024-03-22
Macau,649122,MAC,22.198745,113.543873,2024-03-22
Macao,649132,MAC,22.198745,113.543873,2024-03-22
Saint Martin (French part),38647,MAF,18.082502,-63.051991,2024-03-22
Morocco,36900074,MAR,31.791702,-7.09262,2024-03-22
Monaco,39229,MCO,43.750298,7.412841,2024-03-22
Moldova,2617061,MDA,47.411631,28.369885,2024-03-22
"Moldova, Republic of",2616948,MDA,47.411631,28.369885,2024-03-22
Madagascar,27682274,MDG,-18.766947,46.869107,2024-03-22
Maldives,540328,MDV,3.202778,73.22068,2024-03-22
Mexico,128888912,MEX,23.634501,-102.552784,2024-03-22
Marshall Islands,59172,MHL,7.131474,171.184478,2024-03-22
North Macedonia,2076506,MKD,41.608635,21.745275,2024-03-22
Mali,20244340,MLI,17.570692,-3.996166,2024-03-22
Malta,525136,MLT,35.937496,14.375416,2024-03-22
Montenegro,621469,MNE,42.708678,19.37439,2024-03-22
Mongolia,3276960,MNG,46.862496,103.846656,2024-03-22
Northern Mariana Islands,57535,MNP,17.33083,145.38469,2024-03-22
Mozambique,31243903,MOZ,-18.665695,35.529562,2024-03-22
Mauritania,4648138,MRT,21.00789,-10.940835,2024-03-22
Montserrat,4920,MSR,16.742498,-62.187366,2024-03-22
Martinique,378106,MTQ,14.641528,-61.024174,2024-03-22
Mauritius,1265324,MUS,-20.348404,57.552152,2024-03-22
Malawi,19123544,MWI,-13.254308,34.301525,2024-03-22
Malaysia,32353677,MYS,4.210484,101.975766,2024-03-22
Mayotte,226843,MYT,-12.8275,45.166244,2024-03-22
Namibia,2540136,NAM,-22.95764,18.49041,2024-03-22
New Caledonia,271878,NCL,-20.904305,165.618042,2024-03-22
Niger,206074869,NER,17.607789,8.081666,2024-03-22
Norfolk Island,2301,NFK,-29.040835,167.954712,2024-03-22
Nigeria,206078276,NGA,9.081999,8.675277,2024-03-22
Nicaragua,6622006,NIC,12.865416,-85.207229,2024-03-22
Niue,1469,NIU,-19.054445,-169.867233,2024-03-22
Netherlands,16649056,NLD,52.132633,5.291266,2024-03-22
Norway,5377443,NOR,60.472024,8.468946,2024-03-22
Nepal,29128379,NPL,28.394857,84.124008,2024-03-22
Nauru,10829,NRU,-0.522778,166.931503,2024-03-22
New Zealand,5082797,NZL,-40.900557,174.885971,2024-03-22
Oman,19278025,OMN,21.512583,55.923255,2024-03-22
Pakistan,220811844,PAK,30.375321,69.345116,2024-03-22
Panama,4313385,PAN,8.537981,-80.782127,2024-03-22
Pitcairn Islands,55,PCN,-24.703615,-127.439308,2024-03-22
Pitcairn,55,PCN,-24.703615,-127.439308,2024-03-22
Peru,32959074,PER,-9.189967,-75.015152,2024-03-22
Philippines,109545610,PHL,12.879721,121.774017,2024-03-22
Palau,18086,PLW,7.51498,134.58252,2024-03-22
Papua New Guinea,8943343,PNG,-6.314993,143.95555,2024-03-22
Poland,37934863,POL,51.919438,19.145136,2024-03-22
Puerto Rico,3192714,PRI,18.220833,-66.590149,2024-03-22
North Korea,25771148,PRK,40.339852,127.510093,2024-03-22
Portugal,10302389,PRT,39.399872,-8.224454,2024-03-22
Paraguay,7129924,PRY,-23.442503,-58.443832,2024-03-22
"Palestine, State of",4801556,PSE,31.952162,35.233154,2024-03-22
French Polynesia,280792,PYF,-17.679742,-149.406843,2024-03-22
Qatar,2880193,QAT,25.354826,51.183884,2024-03-22
Réunion,840682,REU,-21.115141,55.536384,2024-03-22
Zimbabwe,14858704,ZWE,-19.015438,29.154857,2024-03-22
Romania,19279556,ROU,45.943161,24.96676,2024-03-22
Russian Federation,144059683,RUS,61.52401,105.318756,2024-03-22
Russia,144051617,RUS,61.52401,105.318756,2024-03-22
Rwanda,12947805,RWA,-1.940278,29.873888,2024-03-22
Saudi Arabia,34801336,SAU,23.885942,45.079162,2024-03-22
Sudan,43830855,SDN,12.862807,30.217636,2024-03-22
Senegal,16738214,SEN,14.497401,-14.452362,2024-03-22
Singapore,5683934,SGP,1.352083,103.819836,2024-03-22
South Georgia and the South Sandwich Islands,29,SGS,-54.429579,-36.587909,2024-03-22
"Saint Helena, Ascension and Tristan da Cunha",53174,SHN,-24.143474,-10.030696,2024-03-22
Saint Helena,53173,SHN,-24.143474,-10.030696,2024-03-22
Svalbard and Jan Mayen,2561,SJM,77.553604,23.670272,2024-03-22
Solomon Islands,686671,SLB,-9.64571,160.156194,2024-03-22
Sierra Leone,7974242,SLE,8.460555,-11.779889,2024-03-22
El Salvador,6484142,SLV,13.794185,-88.89653,2024-03-22
San Marino,33923,SMR,43.94236,12.457777,2024-03-22
Somalia,15886560,SOM,5.152149,46.199616,2024-03-22
Saint Pierre and Miquelon,6066,SPM,46.941936,-56.27111,2024-03-22
Serbia,6905541,SRB,44.016521,21.005859,2024-03-22
South Sudan,11190509,SSD,8.0,30.0,2024-03-22
São Tomé and Príncipe,219097,STP,0.18636,6.613081,2024-03-22
Sao Tome and Principe,219077,STP,0.18636,6.613081,2024-03-22
Suriname,586458,SUR,3.919305,-56.027783,2024-03-22
Slovakia,5456663,SVK,48.669026,19.699024,2024-03-22
Slovenia,2099311,SVN,46.151241,14.995463,2024-03-22
Sweden,10349738,SWE,60.128161,18.643501,2024-03-22
Eswatini,1159734,SWZ,-26.522503,31.465866,2024-03-22
Swaziland,1159815,SWZ,-26.522503,31.465866,2024-03-22
Sint Maarten (Dutch part),40795,SXM,18.04258,-63.056017,2024-03-22
Seychelles,98423,SYC,-4.679574,55.491977,2024-03-22
Syria,17495076,SYR,34.802075,38.996815,2024-03-22
Syrian Arab Republic,17494946,SYR,34.802075,38.996815,2024-03-22
Turks and Caicos Islands,38706,TCA,21.694025,-71.797928,2024-03-22
Chad,16420181,TCD,15.454166,18.732207,2024-03-22
Togo,8275571,TGO,8.619543,0.824782,2024-03-22
Thailand,69777288,THA,15.870032,100.992541,2024-03-22
Tajikistan,9534746,TJK,38.861034,71.276093,2024-03-22
Tokelau,1410,TKL,-8.967363,-171.855881,2024-03-22
Turkmenistan,6028978,TKM,38.969719,59.556278,2024-03-22
Timor-Leste,1318039,TLS,-8.874217,125.727539,2024-03-22
Tonga,105660,TON,-21.178986,-175.198242,2024-03-22
Trinidad and Tobago,1399065,TTO,10.691803,-61.222503,2024-03-22
Tunisia,11814387,TUN,33.886917,9.537499,2024-03-22
Turkey,84311381,TUR,38.963745,35.243322,2024-03-22
Tuvalu,11787,TUV,-7.109535,177.64933,2024-03-22
Taiwan,23494223,TWN,23.69781,120.960515,2024-03-22
Tanzania,59717379,TZA,-6.369028,34.888822,2024-03-22
"Tanzania, United Republic of",59709276,TZA,-6.369028,34.888822,2024-03-22
Uganda,45725465,UGA,1.373333,32.290275,2024-03-22
Ukraine,44117308,UKR,48.379433,31.16558,2024-03-22
Uruguay,3472397,URY,-32.522779,-55.765835,2024-03-22
United States of America,329384441,USA,37.09024,-95.712891,2024-03-22
United States,299,USA,37.09024,-95.712891,2024-03-22
Uzbekistan,34220883,UZB,41.377491,64.585262,2024-03-22
Vatican City,450,VAT,41.902916,12.453389,2024-03-22
Vatican City State,450,VAT,41.902916,12.453389,2024-03-22
Holy See,450,VAT,41.902916,12.453389,2024-03-22
Saint Vincent and the Grenadines,110905,VCT,12.984305,-61.287228,2024-03-22
Venezuela,28425814,VEN,6.42375,-66.58973,2024-03-22
British Virgin Islands,30225,VGB,18.420695,-64.639968,2024-03-22
United States Virgin Islands,106250,VIR,18.335765,-64.896335,2024-03-22
Viet Nam,97306523,VNM,14.058324,108.277199,2024-03-22
Vietnam,97304788,VNM,14.058324,108.277199,2024-03-22
Vanuatu,307031,VUT,-15.376706,166.959158,2024-03-22
Wallis and Futuna,11745,WLF,-13.768752,-177.156097,2024-03-22
Samoa,198335,WSM,-13.759029,-172.104629,2024-03-22
Yemen,29814592,YEM,15.552727,48.516388,2024-03-22
South Africa,59290257,ZAF,-30.559482,22.937506,2024-03-22
Zambia,18377262,ZMB,-13.133897,27.849332,2024-03-22
