Country,Population,ISO-ALPHA-3,Latitude,Longitude
Aruba,106766,ABW,12.52111,-69.968338
Afghanistan,40218234,AFG,33.93911,67.709953
Angola,32866268,AGO,-11.202692,17.873887
Anguilla,13452,AIA,18.220554,-63.068615
Åland Islands,29458,ALA,60.250716,20.374146
Albania,2837743,ALB,41.153332,20.168331
Andorra,77265,AND,42.546245,1.601554
United Arab Emirates,9890400,ARE,23.424076,53.847818
Argentina,45376763,ARG,-38.416097,-63.616672
Armenia,2963234,ARM,40.069099,45.038189
American Samoa,55197,ASM,-14.270972,-170.132217
Antarctica,1000,ATA,-75.250973,-0.071389
French Southern Territories,400,ATF,-49.280366,69.348557
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557
Antigua and Barbuda,97928,ATG,17.060816,-61.796428
Australia,25687041,AUS,-25.274398,133.775136
Austria,8917205,AUT,47.516231,14.550072
Azerbaijan,10110116,AZE,40.143105,47.576927
Burundi,11890781,BDI,-3.373056,29.918886
Belgium,11555997,BEL,50.503887,4.469936
Benin,12123198,BEN,9.30769,2.315834
"Bonaire, Sint Eustatius and Saba",25987,BES,12.183333,-68.233333
Burkina Faso,20903278,BFA,12.238333,-1.561593
Bangladesh,164689383,BGD,23.684994,90.356331
Bulgaria,6927288,BGR,42.733883,25.48583
Bahrain,1701583,BHR,25.930414,50.637772
Bahamas,393248,BHS,25.03428,-77.39628
The Bahamas,393248,BHS,25.03428,-77.39628
Bosnia and Herzegovina,3280815,BIH,43.915886,17.679076
Belarus,9398861,BLR,53.709807,27.953389
Belize,397621,BLZ,17.189877,-88.49765
Bermuda,63903,BMU,32.321384,-64.75737
Bolivia,11673029,BOL,-16.290154,-63.588653
Brazil,212559409,BRA,-14.235004,-51.92528
Barbados,287371,BRB,13.193887,-59.543198
Brunei,437483,BRN,4.535277,114.727669
Brunei Darussalam,437483,BRN,4.535277,114.727669
Bhutan,771612,BTN,27.514162,90.433601
Burma,54409794,BUR,21.913965,95.956223
Myanmar,54409794,MMR,21.913965,95.956223
Botswana,2351625,BWA,-22.328474,24.684866
Central African Republic,4829764,CAF,6.611111,20.939444
Canada,38005238,CAN,56.130366,-106.346771
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956
Switzerland,8654622,CHE,46.818188,8.227512
Chile,19116209,CHL,-35.675147,-71.542969
China,23503349,CHN,35.86166,104.195397
Côte d'Ivoire,26378275,CIV,7.539989,-5.54708
Cameroon,26545864,CMR,7.369722,12.354722
Congo,5657000,COG,-0.228021,15.827659
Cook Islands,18100,COK,-21.236736,-159.777671
Colombia,50882884,COL,4.570868,-74.297333
Comoros,869595,COM,-11.875001,43.872219
Cape Verde,555988,CPV,16.002082,-24.013197
Costa Rica,5094114,CRI,9.748917,-83.753428
Cuba,11326616,CUB,21.521757,-77.781167
Curaçao,155014,CUW,12.186111,-68.989444
Christmas Island,2072,CXR,-10.447525,105.690449
Cayman Islands,65720,CYM,19.513469,-80.566956
Cyprus,1207361,CYP,35.126413,33.429859
Czech Republic,10698896,CZE,49.817492,15.472962
Czechia,10698896,CZE,49.817492,15.472962
Germany,83240525,DEU,51.165691,10.451526
Djibouti,988002,DJI,11.825138,42.590275
Dominica,10847904,DMA,15.414999,-61.370976
Denmark,5831404,DNK,56.26392,9.501785
Dominican Republic,10847904,DOM,18.735693,-70.162651
Algeria,44700000,DZA,28.033886,1.659626
Ecuador,17643060,ECU,-1.831239,-78.183406
Egypt,102334403,EGY,26.820553,30.802498
Eritrea,5352000,ERI,15.179384,39.782334
Western Sahara,510713,ESH,24.215527,-12.885834
Spain,47351567,ESP,40.463667,-3.74922
Estonia,1331057,EST,58.595272,25.013607
Ethiopia,114963583,ETH,9.145,40.489673
Finland,5530719,FIN,61.92411,25.748151
Fiji,896444,FJI,-16.578193,179.414413
Falkland Islands,2563,FLK,-51.796253,-59.523613
Falkland Islands (Malvinas),2563,FLK,-51.796253,-59.523613
France,67391582,FRA,46.227638,2.213749
Faroe Islands,48865,FRO,61.892635,-6.911806
Micronesia,115021,FSM,7.425554,150.550812
"Micronesia, Federated States of",115021,FSM,7.425554,150.550812
Gabon,2225728,GAB,-0.803689,11.609444
Northern Ireland,67215293,GB-NIR,54.7,-6.7
United Kingdom,67215293,GBR,55.378051,-3.435973
United Kingdom of Great Britain and Northern Ireland,67215293,GBR,55.378051,-3.435973
Georgia,3714000,GEO,42.315407,43.356892
Guernsey,62999,GGY,49.465691,-2.585278
Ghana,31072945,GHA,7.946527,-1.023194
Gibraltar,33691,GIB,36.137741,-5.345374
Guinea,1402985,GIN,9.945587,-9.696645
Guadeloupe,400132,GLP,16.995971,-62.067641
Gambia,2416664,GMB,13.443182,-15.310139
The Gambia,2416664,GMB,13.443182,-15.310139
Guinea-Bissau,1967998,GNB,11.803749,-15.180413
Equatorial Guinea,1402985,GNQ,1.650801,10.267895
Greece,10715549,GRC,39.074208,21.824312
Grenada,112519,GRD,12.262776,-61.604171
Greenland,56367,GRL,71.706936,-42.604303
Guatemala,16858333,GTM,15.783471,-90.230759
French Guiana,254541,GUF,3.933889,-53.125782
Guam,168783,GUM,13.444304,144.793731
Guyana,786559,GUY,4.860416,-58.93018
Hong Kong,7500700,HKG,22.396428,114.109497
Honduras,9904608,HND,15.199999,-86.241905
Croatia,4047200,HRV,45.1,15.2
Haiti,11402533,HTI,18.971187,-72.285215
Hungary,9749763,HUN,47.162494,19.503304
Indonesia,273523621,IDN,-0.789275,113.921327
Isle of Man,85032,IMN,54.236107,-4.548056
India,3000,IND,20.593684,78.96288
British Indian Ocean Territory,3000,IOT,-6.343194,71.876519
Ireland,67215293,IRL,53.41291,-8.24389
Iran,83992953,IRN,32.427908,53.688046
Iraq,40222503,IRQ,33.223191,43.679291
Iceland,366425,ISL,64.963051,-19.020835
Israel,9216900,ISR,31.046051,34.851612
Italy,59554023,ITA,41.87194,12.56738
Jamaica,2961161,JAM,18.109581,-77.297508
Jersey,100800,JEY,49.214439,-2.13125
Jordan,10203140,JOR,30.585164,36.238414
Japan,125836021,JPN,36.204824,138.252924
Kazakhstan,18754440,KAZ,48.019573,66.923684
Kenya,53771300,KEN,-0.023559,37.906193
Kyrgyzstan,6591600,KGZ,41.20438,74.766098
Cambodia,16718971,KHM,12.565679,104.990963
Kiribati,119446,KIR,-3.370417,-168.734039
Saint Kitts and Nevis,53192,KNA,17.357822,-62.782998
South Korea,51780579,KOR,35.907757,127.766922
"Korea, Republic of",51780579,KOR,35.907757,127.766922
Kuwait,4270563,KWT,29.31166,47.481766
Laos,7275556,LAO,19.85627,102.495496
Lao People's Democratic Republic,7275556,LAO,19.85627,102.495496
Lebanon,6825442,LBN,33.854721,35.862285
Liberia,5057677,LBR,6.428055,-9.429499
Libya,6871287,LBY,26.3351,17.228331
Saint Lucia,183629,LCA,13.909444,-60.978893
Liechtenstein,38137,LIE,47.166,9.555373
Sri Lanka,21919000,LKA,7.873054,80.771797
Lesotho,2142252,LSO,-29.609988,28.233608
Lithuania,2794700,LTU,55.169438,23.881275
Luxembourg,632275,LUX,49.815273,6.129583
Latvia,1901548,LVA,56.879635,24.603189
Macau,649342,MAC,22.198745,113.543873
Macao,649342,MAC,22.198745,113.543873
Saint Martin (French part),38659,MAF,18.082502,-63.051991
Morocco,36910558,MAR,31.791702,-7.09262
Monaco,39244,MCO,43.750298,7.412841
